d_t,pdr
1,3.7279529663281665
2,6.595448211797492
3,9.88456945734377
4,13.800649910471517
5,14.853708473680737
6,18.39251829764164
7,18.840384744736667
8,21.26314388393451
9,22.12034000401579
10,22.563310270705987
