Iteration,Avg Throughput
1000,0.638
2000,0.6685
3000,0.7186666666666667
4000,0.7595
5000,0.8008
6000,0.8288333333333333
7000,0.8668571428571429
8000,0.888125
9000,0.9183333333333332
10000,0.9438
11000,0.9667272727272728
12000,0.98875
13000,1.0087692307692309
14000,1.0262857142857142
15000,1.0454
16000,1.06225
17000,1.0814705882352942
18000,1.0977777777777775
19000,1.112421052631579
20000,1.12245
21000,1.131571428571429
22000,1.141318181818182
23000,1.1514782608695653
24000,1.1590416666666667
25000,1.16848
26000,1.1772307692307693
27000,1.1856296296296296
28000,1.1912142857142858
29000,1.1995172413793105
30000,1.205733333333333
31000,1.213
32000,1.21746875
33000,1.2227272727272729
34000,1.2279411764705883
35000,1.2326857142857144
36000,1.2376666666666667
37000,1.242945945945946
38000,1.2472631578947369
39000,1.2514871794871796
40000,1.255525
