d_t,pdr
1,47.6389997339718
2,47.55799352323045
3,46.68288513380235
4,47.448672507189194
5,47.08902967655885
6,47.486182326696415
7,46.65656499110613
8,47.85849823800488
9,48.46335697399527
10,48.296216796350954
