p_avg,greedy,dqn
1,0.1568,0.194
2,0.3224,0.4174
3,0.4864,0.0
4,0.6294,0.0
5,0.7992,0.0
6,0.9408,0.0
7,1.125,0.0
8,1.303,0.0
9,1.4408,0.0
