Iteration,Avg Throughput
1000,0.622
2000,0.708
3000,0.773
4000,0.80725
5000,0.87
6000,0.9176666666666666
7000,0.966
8000,1.0125
9000,1.0497777777777777
10000,1.0911
11000,1.125727272727273
12000,1.1568333333333334
13000,1.1874615384615386
14000,1.2126428571428571
15000,1.2360666666666666
16000,1.255625
17000,1.278
18000,1.2992222222222225
19000,1.3167368421052632
20000,1.33475
21000,1.3505714285714283
22000,1.3655
23000,1.3822173913043478
24000,1.3959166666666667
25000,1.40728
26000,1.4188076923076922
27000,1.430925925925926
28000,1.4416071428571429
29000,1.451758620689655
30000,1.4614333333333334
31000,1.4703870967741937
32000,1.480125
33000,1.4867575757575755
34000,1.4946470588235294
35000,1.5027714285714286
36000,1.5103888888888888
37000,1.517027027027027
38000,1.523605263157895
39000,1.5297435897435898
40000,1.536625
