p_avg,greedy,dqn
1,5.22492502499167,6.242950971936575
2,10.728071343005457,13.732300293881911
3,16.243654822335024,19.346683520723836
4,20.97440682484671,26.669768060078415
5,26.60452729693742,32.87735219538236
6,31.84187368848575,38.64692603903864
7,37.11401425178148,45.76833720544308
8,43.76301471082152,53.76689415228155
9,47.99467021985343,58.326714323537196
