hf,greedy,dqn
2,0.7142,1.429
3,0.9646,1.4336
4,1.067,1.4258
5,1.1618,1.4304
6,1.1902,1.4222
7,1.2234,1.4358
8,1.27,1.43
9,1.263,1.443
10,1.2926,1.4452
