Iteration,Avg Throughput
1000,0.55
2000,0.6105
3000,0.6266666666666667
4000,0.66475
5000,0.6944
6000,0.7243333333333334
7000,0.7451428571428571
8000,0.760625
9000,0.7841111111111111
10000,0.802
11000,0.8194545454545454
12000,0.83875
13000,0.855
14000,0.8679285714285714
15000,0.8825333333333333
16000,0.897625
17000,0.9135882352941176
18000,0.9259444444444443
19000,0.9374736842105263
20000,0.9467
21000,0.953095238095238
22000,0.963181818181818
23000,0.9742608695652174
24000,0.982
25000,0.98912
26000,0.9949230769230768
27000,1.0007037037037037
28000,1.0065
29000,1.0123103448275863
30000,1.0190333333333332
31000,1.0253870967741936
32000,1.02953125
33000,1.0339090909090909
34000,1.0379117647058824
35000,1.0424285714285717
36000,1.0451666666666666
37000,1.0484324324324323
38000,1.0512368421052631
39000,1.0551025641025642
40000,1.058375
