Iteration,Avg Throughput
1000,0.59
2000,0.64
3000,0.6873333333333334
4000,0.7145
5000,0.7564
6000,0.7938333333333333
7000,0.8275714285714286
8000,0.857875
9000,0.8887777777777778
10000,0.9102
11000,0.9379090909090908
12000,0.95975
13000,0.9850769230769232
14000,1.0040714285714285
15000,1.0231333333333332
16000,1.0384375
17000,1.0540588235294115
18000,1.070722222222222
19000,1.0837894736842106
20000,1.09605
21000,1.1106666666666667
22000,1.122681818181818
23000,1.1334347826086957
24000,1.1439583333333334
25000,1.15468
26000,1.1628846153846153
27000,1.172
28000,1.1795714285714285
29000,1.186793103448276
30000,1.193733333333333
31000,1.199741935483871
32000,1.2069375
33000,1.2133636363636364
34000,1.219529411764706
35000,1.2246857142857144
36000,1.2304166666666667
37000,1.2362162162162162
38000,1.2413157894736842
39000,1.245128205128205
40000,1.2504
