Iteration,Avg Throughput
1000,0.15
2000,0.1595
3000,0.1563333333333333
4000,0.1625
5000,0.1622
6000,0.1691666666666666
7000,0.1714285714285714
8000,0.174
9000,0.1767777777777777
10000,0.181
11000,0.1833636363636363
12000,0.1851666666666666
13000,0.1883076923076923
14000,0.1901428571428571
15000,0.1934666666666666
16000,0.195125
17000,0.1974705882352941
18000,0.1984444444444444
19000,0.198578947368421
20000,0.2009
21000,0.2013809523809523
22000,0.2021818181818181
23000,0.2032608695652173
24000,0.202875
25000,0.2032
