d_t,greedy,dqn
1,1.8346,1.5636
2,1.8652,1.6194
3,1.9134,1.5502
4,1.8566,1.5536
5,1.8194,0.0
6,1.8308,0.0
7,1.8632,0.0
8,1.8976,0.0
9,1.8534,0.0
