p_avg,greedy,dqn
1,5.22492502499167,6.242950971936575
2,10.728071343005457,13.732300293881913
3,16.243654822335024,19.346683520723836
4,20.97440682484671,0.0
5,26.60452729693742,0.0
6,31.84187368848575,0.0
7,37.11401425178148,0.0
8,43.76301471082152,0.0
9,47.99467021985343,0.0
