d_t,pdr
1,38.28114590273151
2,38.030773294591555
3,38.24251675847879
4,37.90949564755133
5,38.42038386945764
6,38.55470327008478
7,39.7566194169564
8,38.37162434502217
9,38.15063484677258
10,39.210402209795866
