Iteration,Avg Throughput
1000,0.596
2000,0.633
3000,0.6646666666666666
4000,0.70775
5000,0.7402
6000,0.775
7000,0.81
8000,0.84075
9000,0.8707777777777778
10000,0.8984
11000,0.9209090909090908
12000,0.9479166666666666
13000,0.9672307692307692
14000,0.9882857142857144
15000,1.0034
16000,1.0224375
17000,1.0351176470588237
18000,1.0511666666666666
19000,1.065
20000,1.0772
21000,1.0896666666666666
22000,1.1030909090909091
23000,1.1145652173913043
24000,1.1253333333333333
25000,1.13624
26000,1.1458461538461535
27000,1.1555185185185186
28000,1.1665714285714286
29000,1.1739310344827587
30000,1.1815666666666669
31000,1.188225806451613
32000,1.19471875
33000,1.2010606060606062
34000,1.2063529411764706
35000,1.2125142857142857
36000,1.2175277777777778
37000,1.223945945945946
38000,1.2295526315789471
39000,1.2347948717948718
40000,1.23945
