hf,greedy,dqn
2,23.852782045287558,47.278619138945835
3,31.746972090573987,47.40143960906029
4,35.97195064392152,47.678225429277745
5,39.39373389393734,47.90286975717439
6,39.94227800523525,47.33515203939051
7,40.785438058407784,47.63262599469496
8,42.520423195393064,47.20591146005147
9,42.18718685282918,48.551455266518786
10,42.46386333771353,48.375451263537904
