Iteration,Avg Throughput
1000,0.599
2000,0.6725
3000,0.7186666666666667
4000,0.75275
5000,0.7992
6000,0.8336666666666667
7000,0.8548571428571429
8000,0.884375
9000,0.9094444444444444
10000,0.9332
11000,0.9570909090909092
12000,0.9760833333333332
13000,0.9957692307692309
14000,1.0172142857142856
15000,1.0322
16000,1.053875
17000,1.0688235294117647
18000,1.0806666666666669
19000,1.0934736842105264
20000,1.10535
21000,1.118952380952381
22000,1.1309545454545455
23000,1.1409565217391304
24000,1.1507916666666669
25000,1.16028
26000,1.1686923076923077
27000,1.1774074074074077
28000,1.1836428571428572
29000,1.190655172413793
30000,1.1968666666666667
31000,1.2025806451612904
32000,1.2086875
33000,1.2141818181818185
34000,1.221
35000,1.2265142857142857
36000,1.2302777777777778
37000,1.234891891891892
38000,1.239236842105263
39000,1.2442820512820514
40000,1.2483
