d_t,greedy,dqn
1,38.484726688102896,46.5916655571828
2,38.1517058628685,46.86305522604455
3,37.04312384959243,47.37716907120537
4,38.19088792816761,48.00369563782749
5,39.13653679075052,48.492311788590825
6,38.63255876247237,48.18102346849573
7,38.16854678168547,46.64849049075675
8,37.3978381228579,47.652613379438755
9,37.72153598281418,47.461028969023886
