p_avg,greedy,dqn
1,2.8422,2.783
2,2.6808,2.5774
3,2.506,0.0
4,2.3694,0.0
5,2.2028,0.0
6,2.012,0.0
7,1.9042,0.0
8,1.6724,0.0
9,1.5592,0.0
