p_avg,greedy,dqn
1,2.8422,2.8264
2,2.6808,2.5832
3,2.506,2.4246
4,2.3694,2.2068
5,2.2028,2.0118
6,2.012,1.8482
7,1.9042,1.634
8,1.6724,1.382
9,1.5592,1.2592
