Iteration,Avg Throughput
1000,0.622
2000,0.657
3000,0.7096666666666667
4000,0.73975
5000,0.7826
6000,0.8171666666666667
7000,0.8442857142857143
8000,0.870375
9000,0.8973333333333333
10000,0.9182
11000,0.9420909090909092
12000,0.96525
13000,0.9879230769230768
14000,1.007
15000,1.0227333333333333
16000,1.0405
17000,1.0533529411764706
18000,1.0686111111111112
19000,1.0830526315789473
20000,1.09495
21000,1.108428571428571
22000,1.120409090909091
23000,1.130608695652174
24000,1.142375
25000,1.1524
26000,1.1598846153846154
27000,1.1672592592592592
28000,1.1742857142857144
29000,1.1834827586206895
30000,1.1911333333333334
31000,1.197774193548387
32000,1.205375
33000,1.211666666666667
34000,1.2170588235294115
35000,1.2220285714285717
36000,1.2267777777777775
37000,1.2320810810810812
38000,1.2375789473684211
39000,1.2428717948717949
40000,1.247425
41000,1.2506097560975609
42000,1.254357142857143
43000,1.2586976744186047
44000,1.2609772727272728
45000,1.2656666666666667
46000,1.268913043478261
47000,1.272723404255319
48000,1.275125
49000,1.2770816326530612
50000,1.28014
51000,1.2828627450980392
52000,1.2853846153846151
53000,1.2874150943396223
54000,1.2909444444444444
55000,1.2940909090909092
56000,1.2974821428571428
57000,1.2994035087719298
58000,1.3012241379310343
59000,1.302542372881356
60000,1.30425
61000,1.3057868852459016
62000,1.3081935483870968
63000,1.310174603174603
64000,1.311890625
65000,1.3133384615384616
66000,1.314818181818182
67000,1.3158805970149254
68000,1.3171029411764703
69000,1.3183333333333334
70000,1.3199857142857143
71000,1.3216056338028168
72000,1.3232777777777778
73000,1.3251232876712329
74000,1.3264594594594594
75000,1.328
76000,1.3289736842105264
77000,1.3306493506493506
78000,1.3320769230769232
79000,1.3336075949367088
80000,1.334825
81000,1.3354444444444444
82000,1.3362560975609756
83000,1.3373012048192772
84000,1.338154761904762
85000,1.3392235294117647
86000,1.3407325581395348
87000,1.3417701149425287
88000,1.3423863636363635
89000,1.343876404494382
90000,1.3445888888888888
91000,1.3454395604395604
92000,1.3466195652173911
93000,1.3480860215053765
94000,1.3489574468085106
95000,1.3497052631578947
96000,1.35046875
97000,1.3512371134020618
98000,1.3520816326530611
99000,1.353060606060606
100000,1.35296
101000,1.353950495049505
102000,1.3543823529411765
103000,1.3550970873786408
104000,1.3555288461538462
105000,1.3562285714285711
106000,1.356990566037736
107000,1.3577663551401868
108000,1.3585833333333333
109000,1.3589816513761468
110000,1.359727272727273
111000,1.360882882882883
112000,1.3613125
113000,1.3618141592920354
114000,1.3622631578947368
115000,1.363095652173913
116000,1.3636465517241378
117000,1.3640598290598291
118000,1.364813559322034
119000,1.365126050420168
120000,1.365575
121000,1.3663719008264463
122000,1.366516393442623
123000,1.3670081300813008
124000,1.3672903225806452
125000,1.367816
126000,1.368031746031746
127000,1.368307086614173
128000,1.368484375
129000,1.368511627906977
130000,1.3691153846153843
131000,1.3694809160305343
132000,1.3696439393939397
133000,1.370187969924812
134000,1.3705074626865672
135000,1.3709555555555557
136000,1.3715220588235295
137000,1.371817518248175
138000,1.3724565217391305
139000,1.3726906474820144
140000,1.3730571428571428
141000,1.3731347517730497
142000,1.373619718309859
143000,1.374027972027972
144000,1.3745486111111112
145000,1.3749586206896551
146000,1.375013698630137
147000,1.3756326530612244
148000,1.3762094594594594
149000,1.3766241610738257
150000,1.37676
151000,1.3773576158940397
152000,1.3776776315789474
153000,1.3776666666666666
154000,1.3779805194805197
155000,1.3783032258064516
156000,1.3786089743589744
157000,1.3785541401273886
158000,1.379113924050633
159000,1.3794213836477986
160000,1.37958125
161000,1.379614906832298
162000,1.3797716049382716
163000,1.380196319018405
164000,1.3803292682926829
165000,1.3805151515151517
166000,1.3808373493975905
167000,1.380760479041916
168000,1.3806845238095238
169000,1.3810828402366864
170000,1.3812882352941176
171000,1.3816491228070176
172000,1.3818837209302326
173000,1.382184971098266
174000,1.3822068965517242
175000,1.3823885714285715
176000,1.3824545454545454
177000,1.3826214689265537
178000,1.3830224719101123
179000,1.383195530726257
180000,1.383233333333333
181000,1.3835138121546962
182000,1.3838626373626373
183000,1.3843551912568306
184000,1.3844728260869563
185000,1.3847351351351351
186000,1.3848064516129033
187000,1.3847700534759355
188000,1.385271276595745
189000,1.3854232804232804
190000,1.3854473684210526
191000,1.3854712041884816
192000,1.3855
193000,1.3857979274611398
194000,1.385917525773196
195000,1.3862051282051282
196000,1.3861122448979593
197000,1.3861878172588833
198000,1.386661616161616
199000,1.3868040201005023
200000,1.38706
201000,1.3872338308457712
202000,1.3873564356435644
203000,1.3874679802955665
204000,1.387700980392157
205000,1.3877707317073171
206000,1.3879514563106796
207000,1.3882705314009662
208000,1.3882307692307692
209000,1.3886363636363637
210000,1.3889095238095237
211000,1.388919431279621
212000,1.3889481132075472
213000,1.3890798122065728
214000,1.389177570093458
215000,1.3893627906976744
216000,1.3895277777777777
217000,1.389483870967742
218000,1.3898073394495414
219000,1.390109589041096
220000,1.390131818181818
221000,1.3901176470588237
222000,1.3902927927927928
223000,1.3899641255605382
224000,1.3902008928571428
225000,1.3903955555555556
226000,1.3904424778761062
227000,1.390704845814978
228000,1.390771929824561
229000,1.3909170305676857
230000,1.391095652173913
231000,1.3912467532467532
232000,1.3914913793103447
233000,1.391811158798283
234000,1.3920213675213675
235000,1.3921702127659574
236000,1.392228813559322
237000,1.3925527426160338
238000,1.3926512605042016
239000,1.3927907949790794
240000,1.39285
241000,1.3929709543568465
242000,1.3931859504132231
243000,1.3934609053497942
244000,1.393655737704918
245000,1.393795918367347
246000,1.3937764227642278
247000,1.3939311740890687
248000,1.393947580645161
249000,1.3940321285140562
250000,1.394088
251000,1.3941673306772908
252000,1.3943373015873015
253000,1.394387351778656
254000,1.3945944881889765
255000,1.3947764705882353
256000,1.39498828125
257000,1.3950077821011673
258000,1.3951705426356589
259000,1.3953938223938225
260000,1.3954076923076923
261000,1.395471264367816
262000,1.3955725190839694
263000,1.395768060836502
264000,1.3959545454545454
265000,1.3961622641509437
266000,1.396248120300752
267000,1.396389513108614
268000,1.3964402985074629
269000,1.3964981412639406
270000,1.3967074074074075
271000,1.3967416974169742
272000,1.396797794117647
273000,1.396912087912088
274000,1.3968357664233575
275000,1.3967854545454546
276000,1.3969746376811594
277000,1.3969097472924188
278000,1.3967913669064749
279000,1.3967849462365591
280000,1.3968714285714283
281000,1.3968007117437722
282000,1.396854609929078
283000,1.3969858657243817
284000,1.3972147887323945
285000,1.3972350877192985
286000,1.3972832167832168
287000,1.397327526132404
288000,1.397333333333333
289000,1.3974290657439443
290000,1.397506896551724
291000,1.3976013745704468
292000,1.3977123287671234
293000,1.3979590443686007
294000,1.3980680272108843
295000,1.3979966101694916
296000,1.3980641891891892
297000,1.3982222222222225
298000,1.398496644295302
299000,1.3985886287625418
300000,1.398623333333333
301000,1.3986644518272424
302000,1.398751655629139
303000,1.3987128712871286
304000,1.398644736842105
305000,1.3987180327868851
306000,1.3986601307189543
307000,1.3988338762214985
308000,1.3988993506493506
309000,1.3989190938511329
310000,1.398983870967742
311000,1.3988906752411576
312000,1.398996794871795
313000,1.3989872204472844
314000,1.3990859872611463
315000,1.3993079365079366
316000,1.399379746835443
317000,1.399416403785489
318000,1.3995849056603773
319000,1.3997523510971788
320000,1.400103125
321000,1.4002679127725857
322000,1.4004037267080744
323000,1.4004953560371518
324000,1.4007561728395062
325000,1.4007353846153847
326000,1.4006349693251534
327000,1.4008440366972477
328000,1.4008140243902438
329000,1.400936170212766
330000,1.4009242424242423
331000,1.4010453172205437
332000,1.4010361445783133
333000,1.401039039039039
334000,1.401131736526946
335000,1.401086567164179
336000,1.401110119047619
337000,1.4011632047477744
338000,1.4011508875739644
339000,1.4012389380530974
340000,1.401385294117647
341000,1.4014428152492668
342000,1.4014269005847952
343000,1.401542274052478
344000,1.4016337209302323
345000,1.4016347826086957
346000,1.4017832369942196
347000,1.4018731988472624
348000,1.4019683908045977
349000,1.4018997134670488
350000,1.40192
351000,1.402131054131054
352000,1.4022642045454543
353000,1.4023682719546742
354000,1.402460451977401
